2082,New York City Department of Transportation,NYCDOT,New York,NY,us,http://www.ci.nyc.ny.us/html/dot,"59 Maiden Lane, 35 th Floor, New York, NY, 10038-1498",8468015,106524621
2084,Transport of Rockland,TOR,Pomona,NY,us,http://www.co.rockland.ny.us,"Robert L. Yeager Health Center-Building T, Pomona, NY, 10970",286753,28268335
2085,Clarkstown Mini-Trans,,Nanuet,NY,us,http://town.clarkstown.ny.us,"16 Seeger Drive, Nanuet, NY, 10954-2323",265475,784940
2086,Transportation Resources Intra-County for Physically Handicapped and Senior Citizens,TRIPS,Pomona,NY,us,http://www.co.rockland.ny.us,"CITS-Trips-Yeager Health Group Center-Building T, Sanatorium Road, Pomona, NY, 10970",286753,686616
2089,Village of Spring Valley Bus,Spring Valley Jitney,Spring Valley,NY,us,http://www.Villagespringvalley.org,"200 North Main Street, Spring Valley, NY, 10977",40000,262033
2096,Putnam County Transit,PART,Carmel,NY,us,http://www.putnamcountyny.com,"Putnam County Planning Department-841 Fair Street, Carmel, NY, 10512",70291,2585692
2098,Port Authority Trans-Hudson Corporation,PATH,Jersey City,NJ,us,http://www.panynj.gov,"One Path Plaza, Jersey City, NJ, 7306",2820000,363130294
2099,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",SIRTOA,Staten Island,NY,us,http://www.mta.info,"60 Bay Street, Staten Island, NY, 10301",481613,45166902
2100,MTA Long Island Rail Road,MTA LIRR,Jamaica,NY,us,http://www.mta.nyc.ny.us/lirr/,"Jamaica Station, Jamaica, NY, 11435",11720000,1872331566
2113,"Regional Transit Service, Inc. and Lift Line, Inc.",R-GRTA,Rochester,NY,us,http://www.rgrta.com,"1372 East Main Street, Rochester, NY, 14609-6912",694394,57971228
2116,"Centro of Cayuga, Inc.",Centro of Cayuga,Syracuse,NY,us,http://www.centro.org,"200 Cortland Avenue, Syracuse, NY, 13205-820",57608,3591588
2119,County of Oneida,,Utica,NY,us,http://www.ocgov.net,"800 Park Avenue, Utica, NY, 13501",154159,
2120,Greater Glens Falls Transit System,GGFT,Queensbury,NY,us,http://www.cityofglensfalls.com,"495 Queensbury Avenue, Queensbury, NY, 12804",59743,1219289
2122,"Academy Lines, Inc.",,Hoboken,NJ,us,http://www.academybus.com,"Francis A. Tedesco, President-111 Paterson Avenue, Hoboken, NJ, 7030",5443000,244227497
2126,"Hudson Transit Lines, Inc.",Short Line,Mahwah,NJ,us,http://www.shortlinebus.com,"4 Leisure Lane, Mahwah, NJ, 7430",5443000,194051810
2128,Suburban Transit Corporation,Coach USA,New Brunswick,NJ,us,http://www.suburbantransit.com,"750 Somerset Street, New Brunswick, NJ, 8901",5443000,120039777
2132,New Jersey Transit Corporation-45,NJTC-45,Newark,NJ,us,http://www.njtransit.com,"1 Penn Plaza East, Newark, NJ, 7105-2246",5443000,6647759
2135,Monsey New Square Trails Corporation,,Spring Valley,NY,us,http://www.monseybus.com,"Eight Washington Avenue, Spring Valley, NY, 10977",286573,22293114
2137,Monroe Bus Corporation,,Brooklyn,NY,us,,"60 Nostrand Avenue, Brooklyn, NY, 11205",351982,16215095
2142,New Windsor - Cornwall Dial-A-Bus,,New Windsor,NY,us,http://town.new-windsor.ny.us,"555 Union Avenue, New Windsor, NY, 12553",34000,
2143,Town of Newburgh,,Newburgh,NY,us,,"311 Route 32, Newburgh, NY, 12550",28500,
2145,Tompkins Consolidated Area Transit,TCAT,Ithaca,NY,us,http://www.tcatbus.com,"737 Willow Avenue, Ithaca, NY, 14850",96501,8959247
2148,Newburgh Beacon Bus Corporation,NBBC,New Windsor,NY,us,http://www.leprechaunlines.com,"24 Windsor Highway, New Windsor, NY, 12550",225000,757152
2149,"Rockland Coaches, Inc.",,Westwood,NJ,us,http://www.redandtanlines.com,"180 Old Hook Road, Westwood, NJ, 7675-3124",5443000,73749738
2158,Tioga County,Tioga County Transit,Owego,NY,us,http://www.tiogacountyny.com/transportation,"1062 State Route 38, Owego, NY, 13827",52337,534197
2159,"Atlantic Paratrans of NYC, Inc.",API,Staten Island,NY,us,http://www.atlanticexpress.com,"7 North Street, Staten Island, NY, 10302",14648000,7244292
2160,"Community Transit, Inc.",Community Transit,Paramus,NJ,us,http://www.coachusa.com,"160 South route 17 North, Paramus, NJ, 7652",5443000,15291298
2161,DeCamp Bus Lines,,Montclair,NJ,us,http://www.decamp.com,"101 Greenwood Avenue, Montclair, NJ, 7042",5443,45478729
2163,"Lakeland Bus Lines, Inc.",,Dover,NJ,us,http://www.lakelandbus.com,"425 East Blackwell Street, Dover, NJ, 7802-898",5443000,49359894
2165,"Olympia Trails Bus Company, Inc.",Coach USA,Elizabeth,NJ,us,http://www.olympiabus.com,"349 First Street, Elizabeth, NJ, 7206",5443000,12530985
